VARNAMES:,ROW,zMIN,zMAX,z,MUDIF,MUDIFERR,MUREF,NFIT,name,sim_num,muopt,muopt_num,fitopt,fitopt_num,ol_ref,w_ref
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_ZP_gl_survcal,37,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_ZP_hm_survcal,38,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_ZP_in_survcal,39,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_ZP_jo_survcal,40,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_gl_survcal,41,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_hm_survcal,42,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_in_survcal,43,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAK_WAVE_jo_survcal,44,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,8,0.18720,0.22090,0.20690,-0.00950,0.03220,40.04180,32,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,9,0.22090,0.25770,0.23610,0.04260,0.02040,40.36440,51,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,10,0.25770,0.29810,0.27810,0.05270,0.01810,40.76900,77,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,11,0.29810,0.34260,0.32330,0.04000,0.01350,41.14570,122,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,12,0.34260,0.39200,0.36400,0.04630,0.01310,41.44480,135,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,13,0.39200,0.44730,0.42190,0.04780,0.01360,41.82140,145,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,14,0.44730,0.50980,0.47520,0.02250,0.01220,42.12780,190,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,15,0.50980,0.58110,0.54450,-0.00480,0.01150,42.48150,256,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,16,0.58110,0.66360,0.62240,0.01430,0.01180,42.83090,312,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,17,0.66360,0.76050,0.70410,-0.01820,0.01370,43.15550,249,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,18,0.76050,0.87650,0.81090,-0.01590,0.01750,43.52860,209,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,19,0.87650,1.01910,0.93780,-0.01220,0.03020,43.91400,57,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,20,1.01910,1.20000,1.04840,-0.02900,0.04670,44.21010,19,5YR,1,DEFAULT,0,lowz_CFAF_ZP_p_survcal,45,,
ROW:,1,0.01000,0.03050,0.02030,0.00000,999.00000,34.72700,0,5YR,1,DEFAULT,0,lowz_CFAF_ZP_q_survcal,46,,
ROW:,2,0.03050,0.05240,0.04150,0.00000,999.00000,36.31560,0,5YR,1,DEFAULT,0,lowz_CFAF_ZP_q_survcal,46,,
ROW:,3,0.05240,0.07570,0.06640,-1.63940,0.90470,37.37770,1,5YR,1,DEFAULT,0,lowz_CFAF_ZP_q_survcal,46,,
ROW:,4,0.07570,0.10060,0.08980,0.00000,999.00000,38.06820,0,5YR,1,DEFAULT,0,lowz_CFAF_ZP_q_survcal,46,,
ROW:,5,0.10060,0.12730,0.11070,-1.68860,0.53350,38.55400,3,5YR,1,DEFAULT,0,lowz_CFAF_ZP_q_survcal,46,,
ROW:,6,0.12730,0.15610,0.14440,-1.53770,0.29540,39.17870,10,5YR,1,DEFAULT,0,lowz_CFAF_ZP_q_survcal,46,,
ROW:,7,0.15610,0.18720,0.17130,-0.01990,0.04570,39.58510,17,5YR,1,DEFAULT,0,lowz_CFAF_ZP_q_survcal,46,,
